Question,Answer
Lao phổi là gì?,"Lao phổi là một bệnh truyền nhiễm do vi khuẩn Mycobacterium tuberculosis gây ra, chủ yếu ảnh hưởng đến phổi nhưng cũng có thể lan sang các bộ phận khác của cơ thể."
Nguyên nhân gây ra bệnh lao phổi là gì?,"Bệnh lao phổi được gây ra bởi vi khuẩn Mycobacterium tuberculosis, lây lan qua không khí khi người bệnh ho, hắt hơi hoặc nói."
Ai có nguy cơ mắc bệnh lao phổi?,"Những người có hệ miễn dịch yếu, sống trong điều kiện đông đúc, thiếu vệ sinh, hoặc tiếp xúc gần với người bị lao phổi có nguy cơ cao hơn."
Các triệu chứng của bệnh lao phổi là gì?,"Triệu chứng bao gồm ho kéo dài (có thể có đờm hoặc máu), mệt mỏi, sốt nhẹ, đổ mồ hôi đêm, sụt cân không rõ nguyên nhân, và đau ngực."
Làm thế nào để biết mình bị lao phổi?,"Chẩn đoán lao phổi thường dựa trên xét nghiệm đờm, chụp X-quang ngực, xét nghiệm máu, hoặc các xét nghiệm khác như xét nghiệm da (TST) hoặc xét nghiệm IGRA."
Bệnh lao phổi có lây không?,"Có, lao phổi lây qua đường hô hấp khi người bệnh ho, hắt hơi hoặc nói, làm phát tán vi khuẩn vào không khí."
Làm sao để phòng ngừa bệnh lao phổi?,"Phòng ngừa bao gồm tiêm vắc-xin BCG, duy trì vệ sinh cá nhân, thông gió tốt ở nơi ở, và tránh tiếp xúc gần với người bệnh."
Bệnh lao phổi có chữa được không?,"Có, lao phổi có thể chữa khỏi bằng liệu pháp kháng sinh kéo dài (thường 6-9 tháng) nếu tuân thủ đúng phác đồ điều trị."
Điều trị lao phổi như thế nào?,"Điều trị thường sử dụng kết hợp các loại thuốc kháng sinh như Isoniazid, Rifampicin, Ethambutol và Pyrazinamide trong thời gian dài."
Thời gian điều trị lao phổi là bao lâu?,"Thông thường, điều trị lao phổi kéo dài từ 6 đến 9 tháng, nhưng có thể lâu hơn trong trường hợp lao kháng thuốc."
Lao phổi có nguy hiểm không?,"Nếu không được điều trị kịp thời, lao phổi có thể gây biến chứng nghiêm trọng như suy hô hấp, tràn khí màng phổi, hoặc lây lan sang các cơ quan khác."
X-quang phổi có vai trò gì trong chẩn đoán lao phổi?,"Chụp X-quang phổi giúp phát hiện các tổn thương bất thường ở phổi, như hang lao hoặc các vùng thâm nhiễm, hỗ trợ chẩn đoán lao phổi."
Class Activation Map (CAM) là gì?,"CAM (Class Activation Map) là kỹ thuật trực quan hóa trong học sâu, giúp xác định các vùng trên ảnh X-quang mà mô hình AI tập trung để đưa ra dự đoán."
Ứng dụng này có chính xác trong chẩn đoán lao phổi không?,"Ứng dụng này sử dụng AI để hỗ trợ phát hiện dấu hiệu lao phổi, nhưng kết quả chỉ mang tính tham khảo. Bạn cần tham khảo ý kiến bác sĩ để chẩn đoán chính xác."
Ai nên sử dụng ứng dụng này?,"Ứng dụng này phù hợp cho các bác sĩ, nhà nghiên cứu hoặc người dùng muốn phân tích sơ bộ ảnh X-quang phổi để phát hiện dấu hiệu lao phổi."
Làm thế nào để sử dụng ứng dụng này?,"Tải ảnh X-quang lên tab 'Phân tích một ảnh' hoặc 'Phân tích nhiều ảnh', nhấn nút 'Phân tích', sau đó xem kết quả và tải báo cáo PDF nếu cần."
Ứng dụng này hỗ trợ định dạng ảnh nào?,"Ứng dụng hỗ trợ các định dạng ảnh JPG, JPEG và PNG."
Làm thế nào để tải ảnh X-quang lên ứng dụng?,"Trong tab 'Phân tích một ảnh' hoặc 'Phân tích nhiều ảnh', kéo thả hoặc nhấp để chọn file ảnh từ thiết bị của bạn."
"Sau khi phân tích, tôi nhận được gì?","Bạn sẽ nhận được kết quả phân tích (bình thường hoặc nghi ngờ lao phổi), xác suất, ảnh CAM, và báo cáo PDF chi tiết."
Báo cáo PDF chứa những gì?,"Báo cáo PDF chứa ảnh X-quang gốc, ảnh CAM, kết quả chẩn đoán, xác suất, thời gian xử lý, và lưu ý tham khảo ý kiến bác sĩ."
Làm thế nào để tải báo cáo PDF?,"Sau khi phân tích, nhấn nút 'Tải báo cáo PDF' để tải file về máy."
Tab 'Phân tích một ảnh' dùng để làm gì?,"Tab này cho phép tải lên và phân tích một ảnh X-quang phổi duy nhất, hiển thị kết quả và ảnh CAM."
Tab 'Phân tích nhiều ảnh' có chức năng gì?,"Tab này cho phép tải lên nhiều ảnh X-quang cùng lúc, phân tích hàng loạt, và cung cấp bảng tổng hợp kết quả cùng báo cáo PDF riêng cho từng ảnh."
Tôi có thể tải lên bao nhiêu ảnh trong tab 'Phân tích nhiều ảnh'?,"Bạn có thể tải lên nhiều ảnh cùng lúc, nhưng nên giới hạn số lượng để đảm bảo tốc độ xử lý."
Ảnh CAM có ý nghĩa gì trong kết quả?,"Ảnh CAM hiển thị các vùng trên ảnh X-quang mà mô hình AI cho rằng có dấu hiệu bất thường, giúp trực quan hóa khu vực nghi ngờ lao phổi."
Thời gian xử lý một ảnh là bao lâu?,"Thời gian xử lý phụ thuộc vào thiết bị, nhưng thường mất vài giây cho mỗi ảnh."
